Ticker,Price,P/E,P/B,Valuation_Type,PE_Distance,PB_Distance,Base_Score,Category_Multiplier,Raw_Score,Adjusted_Score,Weighted_Score,Allocation_Pct,Allocation_$,Shares,Actual_Investment,Category
UNH,331.83,17.300833,3.1386142,both_undervalued,32.024782099999996,6.736593658836001,38.761375758835996,2.0,77.52275151767199,526.431948558836,145890399.901528,0.025340479615471336,2534.0479615471336,7.0,2322.81,Both Undervalued (Best)
MS,181.87,18.653334,2.8876045,both_undervalued,30.672281099999992,6.987603358836001,37.65988445883599,2.0,75.31976891767198,524.2289659588359,144066512.09608865,0.025023678840465996,2502.3678840465996,13.0,2364.31,Both Undervalued (Best)
IBM,305.09,36.363525,10.219743,pe_undervalued,12.96209009999999,-0.3445351411639983,12.617554958835992,1.2,15.14106595060319,464.0502629917672,99929811.78005826,0.017357340579638315,1735.7340579638314,5.0,1525.4499999999998,P/E Undervalued
GS,907.04,18.417055,2.6062944,both_undervalued,30.908560099999992,7.268913458836002,38.17747355883599,2.0,76.35494711767198,525.264144158836,144921649.1108826,0.025172212137423492,2517.2212137423494,2.0,1814.08,Both Undervalued (Best)
CAT,583.0,29.943504,13.207076,pe_undervalued,19.382111099999992,-3.3318681411639997,16.050242958835995,1.2,19.260291550603192,468.1694885917672,102614638.54467984,0.017823682422185093,1782.3682422185093,3.0,1749.0,P/E Undervalued
MRK,106.78,14.124338,5.1225715,both_undervalued,35.20127709999999,4.752636358836001,39.95391345883599,2.0,79.90782691767198,528.817023958836,147882329.5319954,0.025686468468955746,2568.6468468955745,24.0,2562.7200000000003,Both Undervalued (Best)
AXP,381.05,25.573826,8.099003,both_undervalued,23.751789099999993,1.7762048588360013,25.527993958835992,2.0,51.055987917671985,499.965184958836,124973890.53721544,0.021707379839674322,2170.7379839674322,5.0,1905.25,Both Undervalued (Best)
PM,161.05,22.974321,-22.971045,both_undervalued,26.351294099999993,32.846252858836,59.197546958836,2.0,118.395093917672,567.304290958836,182577899.1170428,0.03171292651150343,3171.2926511503433,20.0,3221.0000000000005,Both Undervalued (Best)
RTX,185.17,38.022587,3.8483279,both_undervalued,11.303028099999992,6.026879958836001,17.329908058835994,2.0,34.65981611767199,483.569013158836,113077289.86805555,0.019640995986084712,1964.099598608471,10.0,1851.6999999999998,Both Undervalued (Best)
CRM,266.08,35.57219,4.1759653,both_undervalued,13.753425099999994,5.699242558836001,19.452667658835995,2.0,38.90533531767199,487.814532358836,116081818.3348402,0.020162868517917168,2016.2868517917168,7.0,1862.56,Both Undervalued (Best)
APP,714.23,84.027054,164.03996,both_overvalued,-34.701438900000014,-154.164752141164,-188.86619104116403,1.0,-188.86619104116403,260.043006,17584723.059502047,0.003054384089246391,305.4384089246391,0.0,0.0,Both Overvalued (Worst)
LRCX,178.07,39.39602,21.99753,pe_undervalued,9.929595099999993,-12.122322141164,-2.192727041164007,1.2,-2.6312724493968083,446.2779245917672,88882490.31565668,0.015438472548820784,1543.8472548820785,8.0,1424.56,P/E Undervalued
MCD,310.68,26.53117,-102.29832,both_undervalued,22.794445099999994,112.17352785883601,134.96797295883601,2.0,269.93594591767203,718.845142958836,371454845.5700917,0.06451996806226025,6451.996806226025,45.0,13980.600000000008,Both Undervalued (Best)
TMUS,201.0,19.382835,3.717472,both_undervalued,29.942780099999993,6.157735858836001,36.10051595883599,2.0,72.20103191767198,521.110228958836,141510541.96889728,0.024579718792720813,2457.9718792720814,12.0,2412.0,Both Undervalued (Best)
TMO,580.74,33.549393,4.2766876,both_undervalued,15.776222099999991,5.598520258836001,21.37474235883599,2.0,42.74948471767198,491.658681758836,118847797.33530691,0.020643306123993087,2064.330612399309,3.0,1742.22,Both Undervalued (Best)
C,120.42,16.912922,1.1107934,both_undervalued,32.4126931,8.764414458836,41.177107558836,2.0,82.354215117672,531.263412158836,149944217.4172727,0.02604460874385748,2604.460874385748,21.0,2528.82,Both Undervalued (Best)
ABT,124.84,15.683416,4.2603145,both_undervalued,33.64219909999999,5.614893358836001,39.25709245883599,2.0,78.51418491767198,527.423381958836,146716222.8178884,0.025483921190737047,2548.3921190737046,20.0,2496.8,Both Undervalued (Best)
AMAT,261.9,30.207611,10.173244,pe_undervalued,19.118004099999993,-0.29803614116399935,18.819967958835996,1.2,22.583961550603195,471.4931585917672,104815663.15463297,0.018205990094926513,1820.5990094926512,6.0,1571.3999999999999,P/E Undervalued
